Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,7.040935829991301e-06,0.007115080568854423,0.0,1.75,1.75
0.0027177459334007717,7.278071059465087e-06,0.006690474416647218,0.0,1.625,1.625
0.0024809646194858446,1.408477337229137e-05,0.0062740025864992475,0.0,2.625,2.625
0.0024809646194858446,1.8324788897422065e-05,0.005985683170787051,0.0,3.0,3.0
0.002882537406248412,2.14868062793181e-05,0.005780238590733235,0.0,3.0,3.0
0.004371561121482508,2.44278972431186e-05,0.005972423294698638,0.0,3.0,3.0
0.008425840183298587,1.1623133545619354e-06,0.0070713931631189485,0.0,3.0,3.0
0.011116803771805298,1.2248483410361328e-06,0.008217598812697813,0.0,3.625,3.625
0.014331041824030973,1.077549030633297e-06,0.005512619510237891,0.0,3.375,3.375
0.010608677760401712,3.797256190874795e-06,0.010356630672043418,0.0,3.0,3.0
0.005335329969400059,1.015239565743716e-06,0.007401444949956711,0.0,3.0,3.0
0.005149800226868478,8.882266886533595e-07,0.0028567518304328243,0.0,3.625,3.625
0.00501901378807901,7.113781420425186e-07,0.0037258629810590273,0.0,2.75,2.75
0.005128353770129394,1.3684956507662522e-05,0.004915909347349521,0.0,4.5,4.5
0.0051540223646796045,7.660029724223548e-07,0.005239985722363147,0.0,4.75,4.75
0.005196600647559851,0.0001985221146291838,0.005274675815941276,0.0,4.625,4.625
0.00667684013452882,1.4217578889343567e-05,0.010456695383866144,0.0,5.0,5.0
0.008859275691489572,1.1768766241874844e-06,0.009791239279089455,0.0,5.0,5.0
0.010721271066979914,1.2204507279747726e-06,0.005224442703290859,0.0,5.0,5.0
0.010142804134590254,2.3186027337600108e-05,0.011435397143945017,0.0,5.0,5.0
0.010821214737239905,1.2318257711531694e-06,0.010750330119821965,0.0,4.375,4.375
0.010170111750374373,1.2940963195218014e-06,0.010717852518440254,0.0,4.625,4.625
0.007119309766168257,1.1252497831341803e-06,0.009314853435213308,0.0,3.75,3.75
0.0037958367599202777,4.063083679301168e-06,0.007555278592485584,0.0,3.0,3.0
0.002650094129425078,5.66224024258678e-06,0.0070769449701694395,0.0,3.625,3.625
0.002582442325449385,9.647101122591292e-06,0.006583919587755321,0.0,4.625,4.625
0.0024809646194858446,1.539433804160409e-05,0.006199954507048573,0.0,4.375,4.375
0.0024809646194858446,2.0095945040221883e-05,0.005913287945614447,0.0,4.0,4.0
0.002882537406248412,2.3604724627166173e-05,0.005668876871299025,0.0,4.625,4.625
0.004540690631421741,2.590580353236571e-05,0.006114881938448658,0.0,5.0,5.0
0.010046761581251649,1.0932882503386428e-06,0.008407183753968978,0.0,3.75,3.75
0.012881825490389662,1.2345269058428087e-06,0.009276592152798406,0.0,3.625,3.625
0.011661169866149549,1.1291042717505858e-06,0.003981710535546925,0.0,4.0,4.0
0.010266430450087098,3.51112308537955e-06,0.009365988750735467,0.0,3.375,3.375
0.005492345945086117,1.110136201363548e-06,0.006910761692108176,0.0,3.0,3.0
0.005367975791130911,1.0381092110295203e-06,0.0027245222359842006,0.0,3.0,3.0
0.005229497525115393,8.192690097741256e-07,0.0031611122369580077,0.0,3.0,3.0
0.005382636510476769,1.5063389236453037e-05,0.004351965064662263,0.0,3.0,3.0
0.005398761314845414,6.85740857722694e-07,0.004677781247141429,0.0,2.375,2.375
0.005394616999045377,0.0001440962526104572,0.004836102455282242,0.0,3.25,3.25
0.00689624250357445,3.732491567346776e-05,0.01029014666319523,0.0,2.75,2.75
0.009294041450018045,1.190001126714192e-06,0.009687825381468979,0.0,3.25,3.25
0.010309895396238593,1.1607448504764133e-06,0.005058121708772619,0.0,3.375,3.375
0.009900557973788167,3.4421544610112983e-06,0.0110617174913125,0.0,3.0,3.0
0.010821214737239905,1.0967280329030553e-06,0.010492285431265033,0.0,2.375,2.375
0.009865678632483749,1.316140388045685e-06,0.010578106692977637,0.0,3.25,3.25
0.006645747138338401,1.144375840619211e-06,0.009108699138062018,0.0,3.375,3.375
0.0035590554460053496,4.639298167149126e-06,0.007385223763406008,0.0,3.625,3.625
0.002650094129425078,6.165615038515691e-06,0.006810757165091676,0.0,3.375,3.375
0.002582442325449385,8.740605953064799e-06,0.0064309073030287415,0.0,3.0,3.0
0.0024809646194858446,1.5542490353644782e-05,0.006050096072693823,0.0,3.625,3.625
0.0024809646194858446,1.9659540253750593e-05,0.005759794197868285,0.0,3.375,3.375
0.002882537406248412,2.3083370198293348e-05,0.005558525355910293,0.0,3.0,3.0
0.004540690631421741,2.5257050850879513e-05,0.0060455846338235645,0.0,2.375,2.375
0.010046761581251649,1.1459990679243607e-06,0.00834810858941456,0.0,2.0,2.0
0.012881825490389662,1.2470257183801058e-06,0.009217207660865536,0.0,2.625,2.625
0.011661169866149549,1.3034607433142514e-06,0.0039205538208867165,0.0,3.625,3.625
0.010266430450087098,4.155960149890855e-06,0.009239558699616712,0.0,3.375,3.375
0.005492345945086117,1.0757822759602515e-06,0.0067977999221250736,0.0,2.375,2.375
0.005367975791130911,1.5428730611318634e-06,0.002768729098409099,0.0,3.25,3.25
0.005229497525115393,1.0524534597709564e-06,0.0030642559752845954,0.0,3.375,3.375
0.005371886640897673,2.8689914605096505e-07,0.004310528823418965,0.0,1.125,1.125
0.005398761314845414,5.722809547110863e-07,0.0045790313201219115,0.0,0.0,0.0
0.005394616999045377,9.245217409627791e-07,0.00493971927506029,0.0,0.0,0.0
