Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,1.75,1.75
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,2.625,2.625
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0026362062130318516,0.0,0.0,0.0,3.0,3.0
0.002669268453653868,0.0,0.0,0.0,3.625,3.625
0.0026209275838544417,0.0,0.0,0.0,3.375,3.375
0.002597706260938614,0.0,0.0,0.0,3.0,3.0
0.002595856020041935,0.0,0.0,0.0,3.0,3.0
0.002595856020041935,0.0,0.0,0.0,3.625,3.625
0.002595856020041935,0.0,0.0,0.0,2.75,2.75
0.002595856020041935,0.0,0.0,0.0,4.5,4.5
0.002595856020041935,0.0,0.0,0.0,4.75,4.75
0.002595856020041935,0.0,0.0,0.0,4.625,4.625
0.0025979308975172186,0.0,0.0,0.0,5.0,5.0
0.0026183443635279186,0.0,0.0,0.0,5.0,5.0
0.002129935230919785,0.0,0.0,0.0,5.0,5.0
0.0020774612108718305,0.0,0.0,0.0,5.0,5.0
0.0020774612108718305,0.0,0.0,0.0,4.375,4.375
0.0020774612108718305,0.0,0.0,0.0,4.625,4.625
0.0020774612108718305,0.0,0.0,0.0,3.75,3.75
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.625,3.625
0.0026981889375036865,0.0,0.0,0.0,4.625,4.625
0.0026981889375036865,0.0,0.0,0.0,4.375,4.375
0.0026981889375036865,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,4.625,4.625
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0036803210417198536,2.1734813042589667e-05,0.012097252836948043,0.0,3.75,3.75
0.007540883363227168,5.675439420499393e-06,0.010986103099986497,0.0,3.625,3.625
0.017364453629686808,0.0,0.014013482893162968,0.0,4.0,4.0
0.015046755377437193,0.0,0.014068805790039962,0.0,3.375,3.375
0.014535441047570853,0.0,0.014128349181307334,0.0,3.0,3.0
0.014896401564050444,0.0,0.01467730548203287,0.0,3.0,3.0
0.015097769263003144,0.0,0.014428134189242808,0.0,3.0,3.0
0.015219902776467977,0.0,0.015647255505381142,0.0,3.0,3.0
0.014508200109149402,0.0,0.015466142278175886,0.0,2.375,2.375
0.014539484108229389,0.0,0.015499145844834358,0.0,3.25,3.25
0.015225215696373098,0.0,0.015745921419307484,0.0,2.75,2.75
0.011148476900295747,0.0,0.013222380315842575,0.0,3.25,3.25
0.006052777786106519,0.0,0.01191137624966651,0.0,3.375,3.375
0.005535175846238467,0.0,0.011436627383107537,0.0,3.0,3.0
0.004801898805203511,0.0,0.011106608003260222,0.0,2.375,2.375
0.004543097835269486,0.0,0.010898852993434044,0.0,3.25,3.25
0.0038098207942345278,0.0,0.0,0.0,3.375,3.375
0.0034431822737170494,0.0,0.0,0.0,3.625,3.625
0.002750662957551641,0.0,0.0,0.0,3.375,3.375
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.625,3.625
0.0026981889375036865,0.0,0.0,0.0,3.375,3.375
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,2.375,2.375
0.0036803210417198536,2.0342913213153588e-05,0.011364698192897779,0.0,2.0,2.0
0.007540883363227168,3.491473421235739e-05,0.010306223467124379,0.0,2.625,2.625
0.017364453629686808,0.0,0.011970317455433787,0.0,3.625,3.625
0.015046755377437193,0.0,0.011833282050788652,0.0,3.375,3.375
0.014535441047570853,0.0,0.011873139854949387,0.0,2.375,2.375
0.014896401564050444,0.0,0.012368752590700971,0.0,3.25,3.25
0.015097769263003144,0.00011637941975875045,0.011887776580242022,0.0,3.375,3.375
0.015219902776467977,0.0,0.013003384509163078,0.0,1.125,1.125
0.014508200109149402,0.0,0.012827002622800527,0.0,0.0,0.0
0.014539484108229389,0.0,0.012951248574088308,0.0,0.0,0.0
0.015225215696373098,0.0,0.013150806547393652,0.0,2.5,2.5
0.011122567135103286,0.0006865837205453177,0.01071880656688966,0.0,4.0,4.0
0.006052777786106519,0.0,0.009319311136956436,0.0,2.75,2.75
0.005535175846238467,0.0,0.008921037274327817,0.0,2.0,2.0
0.004801898805203511,0.0,0.008469770143778997,0.0,2.0,2.0
0.004543097835269486,0.0,0.008165039524684206,0.0,2.625,2.625
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0,0.0,0.0,1.75,1.75
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,2.25,2.25
0.0026981889375036865,0.0,0.0,0.0,2.375,2.375
0.0026981889375036865,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,9.387571030442517e-05,0.008281982966041976,0.0,1.25,1.25
0.007540883363227168,0.0009841773288875857,0.006928111935223284,0.0,2.0,2.0
0.017963807602293852,0.0002755828180723734,0.009462712067554552,0.0,2.0,2.0
0.015682247325115646,0.00016646255187538356,0.009541960506882127,0.0,2.0,2.0
0.014685473717397928,0.0001209278873623258,0.009574607715997175,0.0,2.625,2.625
0.014915235900522386,6.887434705325359e-05,0.01000608759218135,0.0,3.0,3.0
0.015097769263003144,0.0007479067165018379,0.00993018714628278,0.0,3.0,3.0
0.015219902776467977,0.0,0.010787812395884541,0.0,2.375,2.375
0.014508200109149402,0.0,0.010783740808264395,0.0,1.375,1.375
0.014508200109149402,0.0,0.011031599593207571,0.0,2.25,2.25
0.015105822617139487,0.0,0.0116105359013088,0.0,1.75,1.75
0.010822748783706874,0.00046701898587400877,0.010526231973318196,0.0,1.0,1.0
0.006052777786106519,0.0,0.009314858777144186,0.0,1.0,1.0
0.005535175846238467,0.0,0.008796415735996972,0.0,1.0,1.0
0.004801898805203511,0.0,0.008364194476065017,0.0,1.625,1.625
0.004543097835269486,0.0,0.007969855126620377,0.0,2.625,2.625
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0,0.0,0.0,4.25,4.25
0.0026981889375036865,0.0,0.0,0.0,3.75,3.75
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.625,3.625
0.0026981889375036865,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,3.375,3.375
0.0036803210417198536,6.533015914317025e-05,0.007715753617467559,0.0,3.0,3.0
0.007540883363227168,0.001143022966038102,0.006119002894338543,0.0,3.0,3.0
0.01755124917932039,0.0003544097887974136,0.008968662091710723,0.0,3.625,3.625
0.014921299298241155,0.00017141991822880662,0.009288251214442102,1.0462266593606427e-05,4.625,4.625
0.014508200109149402,6.454813318412667e-05,0.009904753661148997,6.269833145664859e-05,3.75,3.75
0.014896401564050444,1.7726530562026793e-05,0.011774969411490198,0.00011702935857524504,3.625,3.625
0.015097769263003144,1.479646476884733e-07,0.013258313803837341,0.0001575235990598512,4.0,4.0
0.015219902776467977,2.0816843117396768e-08,0.014955063987466155,0.00015941784636876554,4.625,4.625
0.014519799578372652,0.0,0.015224856996978122,0.00015560426238260685,5.0,5.0
0.014788391864350272,0.0,0.015635980332282733,0.00014629610673218006,4.375,4.375
0.016263358513359163,0.0,0.015816544752020465,0.0001145329664264109,3.375,3.375
0.011523479930651651,0.0,0.012181485303932395,3.927740612060158e-05,3.0,3.0
0.006052777786106519,0.0,0.0101951137847051,0.0,2.375,2.375
0.005535175846238467,0.0,0.009457649175674055,0.0,1.375,1.375
0.004801898805203511,0.0,0.008851370756668213,0.0,0.375,0.375
0.004543097835269486,0.0,0.00822635082907968,0.0,0.625,0.625
0.0038098207942345278,0.0,0.0,0.0,0.375,0.375
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0026981889375036865,0.0,0.0,0.0,1.625,1.625
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0036803210417198536,0.00014267977959657717,0.008332381798359842,0.0,1.375,1.375
0.007540883363227168,0.001035228969009819,0.006843904805149542,0.0,1.0,1.0
0.01752432829098508,0.0002623991514469535,0.009720706052228502,1.8817026247493572e-06,2.25,2.25
0.014952582501808451,0.00013765727443319062,0.010073739041301783,1.9306268929928407e-05,3.625,3.625
0.014508200109149402,2.3096351514696403e-05,0.01075322964273738,6.667499633695222e-05,4.0,4.0
0.014896401564050444,0.0,0.012713315632781665,0.00010930183312960768,3.375,3.375
0.015097769263003144,0.0,0.014042510242421877,0.0001549268494376971,3.0,3.0
0.015219902776467977,0.0,0.016040775628851766,0.00015925476547462062,3.0,3.0
0.014508200109149402,0.0,0.016347449725331985,0.00015560426238260685,3.0,3.0
0.014752516701089435,0.0,0.01687496521039106,0.00014637137483717002,3.0,3.0
0.016263358513359163,0.0,0.0170070875706022,0.00011502220910884573,2.375,2.375
0.011523479930651651,0.0,0.012798591201423714,4.0055176538831326e-05,2.0,2.0
0.006052777786106519,0.0,0.01064886106758177,0.0,2.0,2.0
0.005535175846238467,0.0,0.009891002713528965,0.0,2.0,2.0
0.004801898805203511,0.0,0.009295547809362864,0.0,2.0,2.0
0.004543097835269486,0.0,0.008802835170612335,0.0,1.375,1.375
0.0038098207942345278,0.0,0.0,0.0,1.0,1.0
0.0034431822737170494,0.0,0.0,0.0,0.375,0.375
0.002129935230919785,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.625,0.625
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.00015665001758965514,0.0075639980853523725,0.0,0.0,0.0
0.004845024673970631,0.0002982446930639944,0.006262548930392389,0.0,0.0,0.0
0.006824869669841044,0.00016432712875272845,0.0066153189702610575,0.0,0.0,0.0
0.006951779861186389,0.00011964504460741528,0.007865025638737904,8.994538546301928e-06,0.0,0.0
0.006740973287056123,1.2332669670700191e-05,0.009423431783085839,5.4832814485196274e-05,1.25,1.25
0.007193874984440668,0.0,0.01082758659836775,0.00010434668288443436,2.625,2.625
0.004916025491630032,0.0,0.012276581813324416,0.00013999867528135217,2.375,2.375
0.00439842355176198,0.0,0.013438432157210443,0.00015801284174228605,2.625,2.625
0.004074922339344448,0.0,0.013525171431260374,0.00015564189643510186,3.0,3.0
0.0038336934991257086,0.0,0.013027227764001151,0.00014659717915213995,3.0,3.0
0.004076297648870296,0.0,0.011995236620083515,0.00011552399647544555,3.0,3.0
0.0030622477903181956,0.0,0.010995579503585668,4.0832946957061056e-05,3.0,3.0
0.0026740463354171565,0.0,0.0,0.0,2.375,2.375
0.002129935230919785,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,1.375,1.375
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026362062130318516,0.0,0.0,0.0,0.0,0.0
0.0026740463354171565,0.0,0.0,0.0,0.0,0.0
0.0026555857410200693,0.0,0.0,0.0,0.0,0.0
0.002598977205348288,0.0,0.0,0.0,0.625,0.625
0.002595856020041935,0.0,0.0,2.5967496221541133e-06,1.625,1.625
0.002595856020041935,0.0,0.0,1.0386998488616453e-05,2.625,2.625
0.002595856020041935,0.0,0.0,8.655832073847045e-07,3.0,3.0
0.002595856020041935,0.0,0.0,5.042963034328278e-06,3.625,3.625
0.002595856020041935,0.0,0.0,4.828448935106852e-05,3.375,3.375
0.002595856020041935,6.637190112010473e-05,0.003912662458812465,0.00013870657281235763,2.375,2.375
0.0026073679336818824,4.4274123876407514e-05,0.0064881958622278885,0.00011606341789454036,2.0,2.0
0.0026642726702644105,8.439474742168574e-06,0.002974429595753786,4.176125358527074e-05,2.625,2.625
0.002129935230919785,0.0,0.0,0.0,2.375,2.375
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,1.375,1.375
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0026981889375036865,0.0,0.0,0.0,0.375,0.375
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,3.314710217226169e-05,0.00989228425923429,0.0,0.625,0.625
0.007540883363227168,0.0003445536400820263,0.0087922730208767,0.0,0.375,0.375
0.017900031673636407,4.438545573407725e-05,0.010818759977873517,0.0,0.0,0.0
0.015218318902369186,9.37941187000204e-06,0.010911540668771655,0.0,0.625,0.625
0.014519799445787206,0.0,0.011132476543327816,0.0,2.25,2.25
0.014896401564050444,0.0,0.011781626153193038,0.0,2.375,2.375
0.015097769263003144,0.0,0.012521148951905583,0.0,2.625,2.625
0.015219902776467977,0.0,0.01385252061744348,0.0,2.375,2.375
0.014508200109149402,0.0,0.015655220040645654,0.0,2.625,2.625
0.014508200109149402,0.0,0.017039022156799068,0.0,3.0,3.0
0.015090502291500963,0.0,0.01894172894324252,8.618198021352058e-06,2.375,2.375
