Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.003560621277356023,0.0010150480438193413,0.002134210913188936,0.0,2.3125,2.3125
0.0033277718646610023,0.0015455789992891583,0.0020627605301149054,0.0,2.5,2.5
0.003211347158313492,0.0012892629651289013,0.002306878714073954,0.0,0.9375,0.9375
0.003153134805139738,0.0011374979517643118,0.00235640047030952,0.0,0.0,0.0
0.0035952019235777565,0.0012447049575853616,0.002277139651287766,0.0,0.0,0.0
0.004724155281361576,0.00114650539487267,0.002368943471236838,0.0,0.0,0.0
0.006439119810324044,0.0010243973542057516,0.0024190197936454533,0.0,0.0,0.0
0.007547406037560018,0.0010235375728179135,0.0024541135936300544,5.742341152487868e-06,0.0,0.0
0.007281919794277337,0.0013411434609177598,0.002196820520317701,4.264884626795677e-05,0.625,0.625
0.006476357339822348,0.0008422900304628474,0.002181998781874357,0.0001023452678323619,1.0,1.0
0.00556439605525264,0.0003758866057723509,0.002540807842394339,0.00012702935931423683,1.0,1.0
0.005622608408426397,0.00018512829392175158,0.002624498934876731,0.00017197115430627732,1.0,1.0
0.00556439605525264,3.138973373383334e-05,0.002460613401236196,0.0001656505913016292,1.0,1.0
0.005389758995731377,1.5074774140448983e-05,0.0026108365623281585,0.00018044509524310837,1.0,1.0
0.0053315466425576195,0.0,0.0031175751890068285,0.0001935647496817786,1.0,1.0
0.005644911677826606,0.0,0.0031862360148441527,0.00015249105949384452,1.0,1.0
0.00769554449511237,0.0,0.002531380168862301,1.1684069150548233e-05,1.0,1.0
0.009908536986924933,0.0,0.0025634804588685325,0.0,1.0,1.0
0.01023223558338137,0.0,0.002807436054980723,0.0,1.0,1.0
0.009541769397722083,0.0,0.003077621305610462,0.0,1.0,1.0
0.009308919985027064,0.0,0.003266059015233282,0.0,1.625,1.625
0.008099451012842223,2.25087418571194e-05,0.003182984609645747,0.0,2.0,2.0
0.006307858508919832,0.00020066809921597646,0.0029034933355624056,0.0,2.0,2.0
0.004713206333918919,0.0004695432943130601,0.002528172255640081,0.0,2.0,2.0
0.003560621277356023,0.0008354367184470044,0.0021731802873666524,0.0,2.0,2.0
0.0033277718646610023,0.0010399208935666499,0.0019336314042582446,0.0,2.0,2.0
0.003211347158313492,0.0010364140210222912,0.0019290105292458608,0.0,1.375,1.375
0.003153134805139738,0.0011820537436334768,0.0019452592048541794,0.0,1.0,1.0
0.0035952019235777565,0.001252115259457967,0.0019782054547726976,0.0,1.0,1.0
0.004724155281361576,0.0011745102765955812,0.002077660818938191,0.0,1.0,1.0
0.006439119810324044,0.0011869197290450496,0.0021992015773316435,0.0,1.0,1.0
0.007568554961031611,0.0013195733293646387,0.002091240160852328,4.904916401083389e-06,1.0,1.0
0.0077468760750384405,0.0010782942492579854,0.0023354588137217717,1.9619665604333554e-05,0.375,0.375
0.006941313620583451,0.0007566585505694264,0.002195837578037144,1.6349721336944627e-06,0.0,0.0
0.006029352336013741,0.00039480543797771407,0.002326281546278997,2.2191755912218743e-05,0.0,0.0
0.006087564689187499,0.00014357861447575354,0.002991197820512594,0.00011406921435202465,0.0,0.0
0.005970741068830825,2.582096019846808e-05,0.0029327016876691536,0.00013654011184804487,0.0,0.0
0.00585471527649248,0.0,0.0026552723404285167,0.000120170451826543,0.0,0.0
0.005796502923318721,1.1894679046892083e-05,0.0019402708026959952,4.448320524722373e-05,1.25,1.25
0.006109867958587711,0.0,0.0021901856313736785,0.0001406873582359528,2.0,2.0
0.008160500775873476,0.0,0.0018593392670845092,1.1723946519662732e-05,2.0,2.0
0.00992968591039653,0.0,0.002034752147961671,0.0,2.0,2.0
0.01023223558338137,0.0,0.0025033236869472708,0.0,2.0,2.0
0.009541769397722083,0.0,0.0028518005071469436,0.0,2.0,2.0
0.009308919985027064,0.0,0.003145121357083533,0.0,1.375,1.375
0.008099451012842223,0.0,0.0029717415919879144,0.0,1.0,1.0
0.006307858508919832,7.356311195322067e-05,0.002658942938413561,0.0,1.0,1.0
0.004713206333918919,0.0003543060711389117,0.0025787752180676544,0.0,1.0,1.0
0.003560621277356023,0.00048422955140482987,0.002244385919326233,0.0,1.0,1.0
0.0033277718646610023,0.0007499055179710473,0.002084989689864544,0.0,1.0,1.0
0.003211347158313492,0.000957321761675767,0.002005163157317715,0.0,1.0,1.0
0.003153134805139738,0.0011525467491480244,0.0019625032771870927,0.0,1.0,1.0
0.0035952019235777565,0.0011582453298828702,0.0019469357029915227,0.0,1.0,1.0
0.004724155281361576,0.001039960900950514,0.002021619216823972,0.0,1.0,1.0
0.006439119810324044,0.0009263325893021955,0.002078571746829741,0.0,1.0,1.0
0.007568554961031611,0.0010161230363427373,0.002000484705428016,4.904916401083389e-06,1.0,1.0
0.0077468760750384405,0.0010936580560484794,0.0019987435569839155,3.253993319743126e-05,1.625,1.625
0.006941313620583451,0.0007339933096343822,0.0020123758863413066,5.3316042506085277e-05,2.0,2.0
0.006029352336013741,0.0005617309456372423,0.002057271536761883,2.625924756189765e-05,2.0,2.0
0.006087564689187499,0.0002173226587869827,0.00267739539534858,8.7809966790127e-05,2.0,2.0
0.005970741068830825,0.00018572544489355895,0.0023429641626793608,7.317497232510583e-06,2.0,2.0
0.00585471527649248,0.0002142207976701789,0.0024570809532096114,3.026692315790481e-05,2.0,2.0
0.005796502923318721,0.0005948453180448043,0.002200978105044667,0.00012106769263161924,5.75,5.75
0.006109867958587711,0.001424779491331394,0.0014921709955953715,1.008897438596827e-05,8.0,8.0
0.008160500775873476,0.0017115880301519827,0.0015384428733950112,0.0,8.0,8.0
0.00992968591039653,0.0018174577980480903,0.001560038249697424,0.0,8.0,8.0
0.01023223558338137,0.0021661585855255825,0.0015106874092974396,0.0,8.0,8.0
0.009541769397722083,0.0026212013373662466,0.0013643773102225453,0.0,8.0,8.0
0.009308919985027064,0.0022292154515828905,0.0015194193251675914,0.0,6.125,6.125
0.008099451012842223,0.0023558828981695584,0.0014600390741358476,0.0,5.0,5.0
0.006307858508919832,0.00313375714401569,0.001145450135534902,0.0,5.0,5.0
0.004713206333918919,0.003930006844992811,0.0009188489869840427,0.0,5.0,5.0
0.003560621277356023,0.004663440407630818,0.0007511209161150611,0.0,5.0,5.0
0.0033277718646610023,0.005028300595568779,0.0006584667114384437,0.0,5.0,5.0
0.003211347158313492,0.004097795226030432,0.0007268295788292749,0.0,3.125,3.125
0.003153134805139738,0.0037584679576454206,0.0008382171994972942,0.0,2.0,2.0
0.0035952019235777565,0.0036023343604929597,0.0007449608573818299,0.0,2.0,2.0
0.004724155281361576,0.003357898151253266,0.000781839681850992,0.0,2.0,2.0
0.006439119810324044,0.0031440721283203335,0.0008352343536568015,0.0,2.0,2.0
0.007568554961031611,0.003390393268223722,0.0006812793104398539,7.177926440609836e-06,2.0,2.0
0.0077468760750384405,0.004315980049752367,0.0006348495720415299,6.992496674227415e-05,4.5,4.5
0.006941313620583451,0.0034146786184872592,0.0011048657552749403,0.00019314603730607633,6.0,6.0
0.006029352336013741,0.00266818415003462,0.001172238597210276,0.00011733915861941358,6.0,6.0
0.006087564689187499,0.0024967678136079315,0.0008600667777189647,8.633450413289053e-06,6.0,6.0
0.005970741068830825,0.002215398082495189,0.0011319158980364452,3.941877936968235e-05,6.0,6.0
0.00585471527649248,0.001357418756217859,0.0019653867312951546,0.00019972580320996869,6.0,6.0
0.005796502923318721,0.0007405957149535418,0.0022739139854923516,0.0001813423360481846,4.75,4.75
0.006109867958587711,0.0005632280521434186,0.0019076313734974744,2.6159554139111403e-05,4.0,4.0
0.008160500775873476,0.0004564564127027686,0.0020606141265464314,4.857063558145989e-05,4.0,4.0
0.00992968591039653,0.00039774626383230755,0.0019811519244655683,0.0,4.0,4.0
0.01023223558338137,0.000434359211484272,0.002000062704445114,0.0,4.0,4.0
0.009541769397722083,0.0005112246481992942,0.001964715724719474,0.0,4.0,4.0
0.009308919985027064,0.001281601109538499,0.0014028914747000784,0.0,6.5,6.5
0.008099451012842223,0.0022549635628784813,0.0009307292652964518,0.0,8.0,8.0
0.006307858508919832,0.00318886755748728,0.0007624419293519566,0.0,8.0,8.0
0.004713206333918919,0.003920851463347843,0.0005137279894114872,0.0,8.0,8.0
0.003560621277356023,0.004632038303433764,0.00038417457798649833,0.0,8.0,8.0
0.0033277718646610023,0.004955709743259251,0.00031666168964360056,0.0,8.0,8.0
0.003211347158313492,0.0036683730336394085,0.00044150802575124496,0.0,4.875,4.875
0.003153134805139738,0.0030951676320801463,0.0005889956045044526,0.0,3.0,3.0
0.0035952019235777565,0.0029521815552062294,0.0004922716882238099,0.0,3.0,3.0
0.004724155281361576,0.002660039213982699,0.0005854437631091009,0.0,3.0,3.0
0.006439119810324044,0.002393530958124693,0.0006614215246468669,0.0,3.0,3.0
0.007568554961031611,0.0024994321558955554,0.0005987307080635305,4.306755864365901e-06,3.0,3.0
0.0077468760750384405,0.0027217286147850996,0.0006204406357179988,4.234976599959803e-05,4.25,4.25
0.006941313620583451,0.0019350054453483613,0.001101819256647501,0.00013679931474728913,5.0,5.0
0.006029352336013741,0.0011164913448704632,0.0016421552170237123,0.0001901552346224889,5.0,5.0
0.006087564689187499,0.0007219304429656682,0.001968693602157791,0.00020189911982670887,5.0,5.0
0.005970741068830825,0.000615100933595841,0.001747661597885305,0.00012176554659112297,5.0,5.0
0.00585471527649248,0.00047493075376060155,0.0018008401029030517,0.00014198337273217402,5.0,5.0
0.005796502923318721,0.00019370393153030982,0.0020661960288239018,0.00021194821684356266,4.375,4.375
