Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.008260601079473198,0.0,0.037212290520136464,0.0,2.291666666666667,2.291666666666667
0.005536544500246012,0.0,0.0,0.0,2.5,2.5
0.006920789206085527,0.0,0.0,0.0,1.0416666666666667,1.0416666666666667
0.005355677051985433,0.0,0.0,0.0,0.0,0.0
0.010051013514285721,0.005911645961705066,0.007509387429414156,0.0,0.0,0.0
0.021006798592986382,0.002743295073217741,0.010359571475383026,0.0,0.0,0.0
0.024429383070267395,0.0034969860994974447,0.010737230491948895,0.0,0.0,0.0
0.02792680918251365,0.0,0.01361645877387707,2.6084971795624254e-05,0.0,0.0
0.03329303138902131,0.0,0.01744591717407752,0.0002481332942058756,0.5833333333333334,0.5833333333333334
0.037611336778029233,0.0,0.018186482821876408,0.0006167465518927908,1.0,1.0
0.046506095833023134,0.0,0.023146882026286168,0.0007695066679709151,1.0,1.0
0.051222895598274025,0.0,0.029417635609779294,0.0010487788972578173,1.0,1.0
0.04807836242144011,0.0,0.03551408396886689,0.0010160096514395644,1.0,1.0
0.04493382924460617,0.0,0.037433650106187676,0.0011020900583651246,1.0,1.0
0.04178929606777224,0.0,0.03379299458135161,0.0011858880302585673,1.0,1.0
0.04178929606777224,0.0,0.03158396727909715,0.0009602530242264174,1.0,1.0
0.046554520255604075,0.0,0.03135943384728254,9.553620920147377e-05,1.0,1.0
0.047554378872359165,0.0,0.032361650951900356,0.0,1.0,1.0
0.044409845695525245,0.0,0.03617966924845779,0.0,1.0,1.0
0.04126531251869131,0.0,0.036489399943273604,0.0,1.0,1.0
0.03812077934185739,0.0,0.03428332339945943,0.0,1.5833333333333333,1.5833333333333333
0.03497624616502346,0.0,0.024796154354898247,0.0,2.0,2.0
0.020048301130184503,0.0,0.01828451421067873,0.0,2.0,2.0
0.00905961012151011,0.0,0.014057774287395464,0.0,2.0,2.0
0.007871828209930045,0.0,0.03746751880200568,0.0,2.0,2.0
0.005536544500246012,0.0,0.0,0.0,2.0,2.0
0.006920789206085527,0.0,0.0,0.0,1.4166666666666667,1.4166666666666667
0.005355677051985433,0.0,0.0,0.0,1.0,1.0
0.010051013514285721,0.005537225477130966,0.007450255882947379,0.0,1.0,1.0
0.02220916169927851,0.00034479743188364727,0.010427799898316699,0.0,1.0,1.0
0.025559821744766037,0.0007576957592816214,0.010842146347635542,0.0,1.0,1.0
0.02870435492159996,0.0,0.015092122578197111,2.228091340876237e-05,1.0,1.0
0.03397638754826837,0.0,0.018409990815570623,0.00012031693240731685,0.4166666666666667,0.4166666666666667
0.038432354630887504,0.0,0.021007967959830842,1.3368548045257423e-05,0.0,0.0
0.04753952194593224,0.0,0.022092310573810125,0.00012096905670220746,0.0,0.0
0.05225632171118313,0.0,0.031664348403783536,0.0006822850435292967,0.0,0.0
0.04911178853434921,0.0,0.04084652353100064,0.0008334148488701947,0.0,0.0
0.045967255357515266,0.0,0.041467521732774126,0.0007541817470409861,0.0,0.0
0.042822722180681345,0.0,0.03463993440286115,0.0002678600541263164,1.1666666666666667,1.1666666666666667
0.042822722180681345,0.0,0.03137628107484313,0.0008627604421402719,2.0,2.0
0.04858285267645928,0.0,0.031683767467849816,9.586227134891905e-05,2.0,2.0
0.049887016089618104,0.0,0.03726525504250084,0.0,2.0,2.0
0.04674248291278417,0.0,0.042669890253946394,0.0,2.0,2.0
0.04359794973595025,0.0,0.0407483577966671,0.0,2.0,2.0
0.04045341655911632,0.0,0.03848453946602101,0.0,1.4166666666666667,1.4166666666666667
0.037308883382282394,0.0,0.031028485159572503,0.0,1.0,1.0
0.020048301130184503,0.0,0.02388784861588895,0.0,1.0,1.0
0.00903814681855951,0.0,0.01605866512709198,0.0,1.0,1.0
0.007871828209930045,0.0,0.038329739057136825,0.0,1.0,1.0
0.005536544500246012,0.0,0.0,0.0,1.0,1.0
0.006920789206085527,0.0,0.0,0.0,1.0,1.0
0.005355677051985433,0.0,0.0,0.0,1.0,1.0
0.010051013514285721,0.004717806004280619,0.01040471206330213,0.0,1.0,1.0
0.02220916169927851,9.334022067068708e-05,0.01198559286399882,0.0,1.0,1.0
0.025559821744766037,2.432950294960256e-05,0.011827800210163813,0.0,1.0,1.0
0.02870435492159996,0.0,0.0173233409120465,2.228091340876237e-05,1.0,1.0
0.03388944332072445,0.0,0.020320752865311487,0.0001907463562555023,1.5833333333333333,1.5833333333333333
0.03812804983448378,0.0,0.02284840682010864,0.00033030095536209207,2.0,2.0
0.04753952194593224,0.0,0.02263533969417083,0.00015487952003651894,2.0,2.0
0.05225632171118313,0.0,0.03105341205807212,0.0005384916365059182,2.0,2.0
0.04911178853434921,0.0,0.03664220705539797,5.983240405621311e-05,2.0,2.0
