Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.003560621277356023,0.010199439891805868,0.0001228386764932996,0.0,1.9375,1.9375
0.0033277718646610023,0.011209644521855765,0.00010255253362801705,0.0,2.5,2.5
0.003211347158313492,0.011105853485203748,0.00010620413230789464,0.0,2.1875,2.1875
0.003153134805139738,0.011127219354595826,0.0001070529498083904,0.0,2.0,2.0
0.0035952019235777565,0.011192599249985257,0.00010231177741329418,0.0,2.0,2.0
0.004724155281361576,0.010926485843928864,9.633632938950122e-05,0.0,2.0,2.0
0.006439119810324044,0.010700607967618063,9.158041497001756e-05,0.0,2.0,2.0
0.007547406037560018,0.010514374166125199,8.242879031179488e-05,1.2860451539425956e-05,2.0,2.0
0.007281919794277337,0.009066935961230222,0.00016781388268241444,7.393264233828132e-05,1.375,1.375
0.006476357339822348,0.006877719445081511,0.00034186985773235933,0.00012350021214760368,1.0,1.0
0.00556439605525264,0.005579642459879908,0.0005582111548866999,0.00012449714637546616,1.0,1.0
0.005622608408426397,0.005857953720013342,0.0003004544808333263,9.750016748495026e-06,1.0,1.0
0.00556439605525264,0.005427466905512699,0.0003967957804631268,3.828227434991913e-05,1.0,1.0
0.005389758995731377,0.0037696386086144757,0.0008988438488570044,0.0001815417228937571,1.0,1.0
0.0053315466425576195,0.0043113009786108795,0.0006729954679524403,0.0001264112600929621,1.625,1.625
0.005644911677826606,0.005799289129472381,0.00046835029132004234,9.470875164693533e-06,2.0,2.0
0.00769554449511237,0.005996071350162614,0.00028739164198540886,0.0,2.0,2.0
0.009908536986924933,0.005589591474633264,0.00032114310038038773,0.0,2.0,2.0
0.01023223558338137,0.005724265620052509,0.0002860349323068687,0.0,2.0,2.0
0.009541769397722083,0.0059451257851469725,0.000246343767887457,0.0,2.0,2.0
0.009308919985027064,0.005657651453473616,0.00026980988147972133,0.0,1.375,1.375
0.008099451012842223,0.006005808476038872,0.00020729038691298128,0.0,1.0,1.0
0.006307858508919832,0.007208846033238137,0.00015333576610561373,0.0,1.0,1.0
0.004713206333918919,0.008268956275554738,0.00015078071034097462,0.0,1.0,1.0
0.003560621277356023,0.009157969697500474,0.00014620896500602197,0.0,1.0,1.0
0.0033277718646610023,0.009589438777347617,0.00014021406326912743,0.0,1.0,1.0
0.003211347158313492,0.009919788543786669,0.00013339761147465061,0.0,1.0,1.0
0.003153134805139738,0.010187928995433394,0.00012779876212475763,0.0,1.0,1.0
0.0035952019235777565,0.010193506846986838,0.00012401335326647761,0.0,1.0,1.0
0.004724155281361576,0.009853044648007257,0.00012219370899574318,0.0,1.0,1.0
0.006439119810324044,0.009558451989142075,0.0001189883318748666,0.0,1.0,1.0
0.007568554961031611,0.010459443795662804,0.0,6.460133796548853e-06,1.0,1.0
0.0077468760750384405,0.009807197969885077,0.0,2.5840535186195413e-05,1.0,1.0
0.006941313620583451,0.00920164282055258,0.0,1.6748495028089615e-05,1.0,1.0
0.006029352336013741,0.0069248182896347425,1.4364790455100888e-05,7.560749184109027e-05,1.0,1.0
0.006087564689187499,0.00535880535931122,0.0001680325876126256,9.321335030514161e-05,1.0,1.0
0.005970741068830825,0.004430766366822942,0.0002521425472357409,8.350321092576109e-05,1.0,1.0
0.00585471527649248,0.005045368173669088,9.398741392672634e-05,6.480072481106102e-06,1.0,1.0
0.005796502923318721,0.005917413409403948,2.231323506156317e-05,0.0,1.625,1.625
0.006109867958587711,0.006284412535872516,2.222443062857697e-05,0.0,2.0,2.0
0.008160500775873476,0.005936089973223493,2.9475391314852007e-05,0.0,2.0,2.0
0.00992968591039653,0.00517194020238452,0.00024355633080603688,0.0,2.0,2.0
0.01023223558338137,0.004862954187134998,0.0003733742487015314,0.0,2.0,2.0
0.009541769397722083,0.0047460120544443474,0.0003653260022171538,0.0,2.0,2.0
0.009308919985027064,0.004828269376743431,0.0003527268234500127,0.0,2.0,2.0
0.008099451012842223,0.005322825683204026,0.0002722891683776915,0.0,2.0,2.0
0.006307858508919832,0.006310338948117773,0.0002653797446146377,0.0,2.0,2.0
0.004713206333918919,0.007189639403027713,0.0002696130463499645,0.0,2.0,2.0
0.003560621277356023,0.00800470082795922,0.0002770535332631156,0.0,2.0,2.0
0.0033277718646610023,0.008398805517413292,0.00028814211548187945,0.0,2.0,2.0
0.003211347158313492,0.008770889378666893,0.00030159758251105395,0.0,2.0,2.0
0.003153134805139738,0.009187907380265802,0.0003102636728894578,0.0,2.0,2.0
0.0035952019235777565,0.009431086417984132,0.0002888929991497916,0.0,2.0,2.0
0.004724155281361576,0.009342015633962029,0.00026542820634724084,0.0,2.0,2.0
0.006439119810324044,0.0092504928544073,0.00024520298361798223,0.0,2.0,2.0
0.007568554961031611,0.010085725710860255,0.0,9.570568587479782e-06,2.0,2.0
0.0077468760750384405,0.009100314319214086,0.0,5.4851321216993495e-05,2.0,2.0
0.006941313620583451,0.007600633535580089,0.0,9.094034026561518e-05,2.0,2.0
0.006029352336013741,0.00637303701139113,3.9909945849115e-05,9.141886869498916e-05,2.0,2.0
0.006087564689187499,0.006383111593787587,3.965505030733691e-05,3.5690245357476685e-05,2.0,2.0
0.005970741068830825,0.004909175004381549,0.0004045603143449683,0.00014636988333476892,2.0,2.0
0.00585471527649248,0.004175413861863032,0.0007511523446632166,0.00016736531817355268,2.0,2.0
0.005796502923318721,0.004002570274971353,0.0006863975652384832,0.00012631156667017586,2.0,2.0
0.006109867958587711,0.0047217152102937195,0.00030023632997142145,9.63038464115153e-06,2.0,2.0
0.008160500775873476,0.004743762469568092,0.00028498526254802593,0.0,2.0,2.0
0.00992968591039653,0.004371333614157124,0.00042010602448869705,0.0,2.0,2.0
0.01023223558338137,0.004527953985806458,0.0005011075515412171,0.0,2.0,2.0
0.009541769397722083,0.004794513014838043,0.00047230312543611753,0.0,2.0,2.0
0.009308919985027064,0.005869931937746955,0.0003633744807075159,0.0,2.625,2.625
0.008099451012842223,0.0071722563333692655,0.00033255735153506384,0.0,3.0,3.0
0.006307858508919832,0.008393126288463037,0.0003421470940605809,0.0,3.0,3.0
0.004713206333918919,0.009327832493553076,0.00033984925273341826,0.0,3.0,3.0
0.003560621277356023,0.010063476389575348,0.0003284753583018346,0.0,3.0,3.0
0.0033277718646610023,0.010377455134132338,0.00030674733753497773,0.0,3.0,3.0
0.003211347158313492,0.010703118168516561,0.0002866750356982016,0.0,3.0,3.0
0.003153134805139738,0.011069188933690877,0.0002661957321712901,0.0,3.0,3.0
0.0035952019235777565,0.011318497273623933,0.00024212581403835798,0.0,3.0,3.0
0.004724155281361576,0.011278793099112547,0.0002167624385529914,0.0,3.0,3.0
0.006439119810324044,0.011285684059718082,0.00019385894102631906,0.0,3.0,3.0
0.007568554961031611,0.012208568396838062,0.0,1.5851254223013386e-05,3.0,3.0
0.0077468760750384405,0.010866333937380245,0.0,9.761979959229376e-05,3.0,3.0
0.006941313620583451,0.008845695272855317,0.00011821749189352244,0.00017737453782129195,3.0,3.0
0.006029352336013741,0.007248768619773007,0.00024137439261191483,0.00019527947655370204,3.0,3.0
0.006087564689187499,0.006100056245963081,0.0005807629215368753,0.00022534701286603434,3.0,3.0
0.005970741068830825,0.005438456911678532,0.0006741369687916786,0.00018156166157831435,3.0,3.0
0.00585471527649248,0.006027990636822462,0.0003248841944047214,4.312737469733077e-05,3.0,3.0
0.005796502923318721,0.006236604035497426,0.0003787621450046585,0.00011676093676725333,3.625,3.625
0.006109867958587711,0.00763920496967062,9.105265966048956e-05,9.730078063937779e-06,4.0,4.0
0.008160500775873476,0.007645126254957123,6.355330439305278e-05,0.0,4.0,4.0
0.00992968591039653,0.007218260291309033,0.00024302783577564928,0.0,4.0,4.0
0.01023223558338137,0.007227500058433482,0.00040759130848392916,0.0,4.0,4.0
0.009541769397722083,0.007305551649486969,0.0003173105226433164,0.0,4.0,4.0
0.009308919985027064,0.007651320626059047,0.00032484701296061334,0.0,4.0,4.0
0.008099451012842223,0.008356374221153427,0.00032772300221536665,0.0,4.0,4.0
0.006307858508919832,0.00945912823793071,0.0003300437027233758,0.0,4.0,4.0
0.004713206333918919,0.010407570057011544,0.00031303089532304737,0.0,4.0,4.0
0.003560621277356023,0.011168002818258005,0.000292711322034755,0.0,4.0,4.0
0.0033277718646610023,0.011537024539926366,0.0002722616751799434,0.0,4.0,4.0
0.003211347158313492,0.010441363819103872,0.00028519308284506874,0.0,2.75,2.75
0.003153134805139738,0.009881055600868698,0.0002870947474087852,0.0,2.0,2.0
0.0035952019235777565,0.010010695587884979,0.0002679638841829405,0.0,2.0,2.0
0.004724155281361576,0.009855184302703775,0.00024694048190360157,0.0,2.0,2.0
0.006439119810324044,0.009731300114702574,0.0002269607961504317,0.0,2.0,2.0
