Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.003791269839162288,0.0012402357284685887,0.0,1.9375,1.9375
0.0027177459334007717,0.004148869283588741,0.0009197131011154408,0.0,2.5,2.5
0.0024809646194858446,0.004284312470460546,0.0007748236365206632,0.0,2.1875,2.1875
0.0024809646194858446,0.004387613235709115,0.0006562067816868573,0.0,2.0,2.0
0.002882537406248412,0.004509910615565485,0.0005591611298682774,0.0,2.0,2.0
0.004371561121482508,0.004437192269029294,0.0006860290304859493,0.0,2.0,2.0
0.008425840183298587,0.004925493712095666,0.001193843955752511,0.0,2.0,2.0
0.011109623241150059,0.012258910778200233,0.002091741815618211,1.0044025533314398e-05,2.0,2.0
0.01417539631804556,0.002052715788999033,0.0022128103064924156,5.774146771710044e-05,1.375,1.375
0.010524562753535333,0.002574194530619902,0.003799605910380622,9.64537893850378e-05,1.0,1.0
0.005305847532271585,0.0026712722845757117,0.002170410983285365,9.723239601552729e-05,1.0,1.0
0.0052172365394911975,0.001133691770900256,0.0013964008923772542,7.614772846187194e-06,1.0,1.0
0.005109085813111735,0.0012295690066848695,0.001177275918686998,2.9898494610796345e-05,1.0,1.0
0.005184223243830944,0.0010646875888001214,0.005073030247706213,0.00014178426741213578,1.0,1.0
0.005268006257344843,0.0011118367642146587,0.002265620209682408,9.87273207460671e-05,1.625,1.625
0.0055104954306337975,0.0013474380135644105,0.0032288526110215844,7.396762989650137e-06,2.0,2.0
0.006967442442622861,0.004310337338340233,0.002586285644756724,0.0,2.0,2.0
0.0089372380351858,0.009345653525586674,0.002504368897305906,0.0,2.0,2.0
0.010721271066979914,0.0012273126548525957,0.00173413168540121,0.0,2.0,2.0
0.010142804134590254,0.0026303693432950053,0.002647128300368253,0.0,2.0,2.0
0.010821214737239905,0.0020159316029295404,0.0025512848479786834,0.0,1.375,1.375
0.010170111750374373,0.001910849192760165,0.0025623499148291692,0.0,1.0,1.0
0.007119309766168257,0.0021933838390694807,0.0022841158491294948,0.0,1.0,1.0
0.0037958367599202777,0.0032644600485700367,0.0016047789708728947,0.0,1.0,1.0
0.002650094129425078,0.003564060394428926,0.0012928173546427764,0.0,1.0,1.0
0.002582442325449385,0.0038888601795900347,0.001080249466787263,0.0,1.0,1.0
0.0024809646194858446,0.004065011006727587,0.0008777857420986771,0.0,1.0,1.0
0.0024809646194858446,0.0042173813207862605,0.000740488378443282,0.0,1.0,1.0
0.002882537406248412,0.004315109284505509,0.0006443593738209437,0.0,1.0,1.0
0.004540690631421741,0.004081747227876896,0.0009260427519793143,0.0,1.0,1.0
0.010046761581251649,0.0037939997393746346,0.0018443028892968117,0.0,1.0,1.0
0.012878235225062038,0.011340060877656098,0.0025496431373782263,5.045370965571883e-06,1.0,1.0
