Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.003560621277356023,0.001021407643723953,0.0015093989133845283,0.0,0.75,0.75
0.0033277718646610023,0.0010581289920569325,0.0012110965591214029,0.0,1.25,1.25
0.003211347158313492,0.0010283204342249584,0.0009753072142543172,0.0,2.0,2.0
0.003153134805139738,0.0018335999401114071,0.0006728126099033964,0.0,5.125,5.125
0.0035952019235777565,0.002681562818923453,0.0006206889502021771,0.0,7.625,7.625
0.004724155281361576,0.001260807829219314,0.001009194666186915,0.0,3.625,3.625
0.006439119810324044,0.000754794466017108,0.0013086354655325236,0.0,2.25,2.25
0.007547406037560018,0.0010096431623588906,0.0011505330374122075,3.5889632203049177e-07,3.625,3.625
0.007281919794277337,0.0013045952392884198,0.0009629503575472333,1.435585288121967e-06,4.0,4.0
0.006476357339822348,0.0016494766253175245,0.0008241918835279954,5.921789313503114e-06,5.875,5.875
0.00556439605525264,0.0009845886029300275,0.0011444166495735118,3.612889641773617e-05,5.125,5.125
0.005622608408426397,0.00036140311510778273,0.0016779013046307348,8.083142719508965e-05,4.0,4.0
0.00556439605525264,0.0002903986087071908,0.0021705298888071672,0.00015755548537138588,4.0,4.0
0.005389758995731377,0.00033995274952022575,0.002047203920508769,0.000229314811092927,5.875,5.875
0.0053315466425576195,0.00029911674262814245,0.002034881206837799,0.0002213393372700272,6.375,6.375
0.005644911677826606,0.00019052722525817243,0.002088108567410091,0.00015725640510302715,6.0,6.0
0.00769554449511237,0.0001748106699526749,0.001993899508100842,1.2621187324738962e-05,5.375,5.375
0.009908536986924933,0.00015575437355212738,0.0023613943026926827,0.0,5.0,5.0
0.01023223558338137,0.00016028145175787378,0.002561801494537364,0.0,4.375,4.375
0.009541769397722083,0.00014053202252146596,0.0027137429163939636,0.0,3.375,3.375
0.009308919985027064,0.00029951784812764983,0.0025111730866541654,0.0,3.625,3.625
0.008099451012842223,0.0005675179763372505,0.0019938759065110984,0.0,4.0,4.0
0.006307858508919832,0.0009134828644298962,0.0016162062353687024,0.0,3.375,3.375
