Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.0001815305061356718,0.004097533569663797,0.0,0.75,0.75
0.0027177459334007717,0.00021241390199351672,0.003636018899026,0.0,1.25,1.25
0.0024809646194858446,0.00020672746319115687,0.0033106138961853707,0.0,2.0,2.0
0.0024809646194858446,0.0002450129090281801,0.002973316074870373,0.0,5.125,5.125
0.002882537406248412,0.0002953513353663629,0.0026883449040223514,0.0,7.625,7.625
0.004371561121482508,0.0002304895414396039,0.003176317039554319,0.0,3.625,3.625
0.008425840183298587,0.00017272480528064032,0.0041930018828283495,0.0,2.25,2.25
0.011116803771805298,0.0022135607663867395,0.004909193487572257,2.802983869762157e-07,3.625,3.625
0.014374911623986507,0.00011656747112335395,0.0030584580626155113,1.1211935479048628e-06,4.0,4.0
0.010620565514894936,0.00021098366618661483,0.00675808585697796,4.62492338510756e-06,5.875,5.875
0.005334777410217579,0.0001455130814670463,0.003992264482145056,2.8216704288939054e-05,5.125,5.125
0.005169484702473996,4.662178967494709e-05,0.002156883862305048,6.312942560008771e-05,4.0,4.0
0.005032222103070767,1.7266105999275025e-05,0.002471312037689968,0.0001230509918825587,4.0,4.0
0.005151069216212804,1.7120112410460933e-06,0.005238621218580978,0.00017909509714519206,5.875,5.875
0.0052164728525682345,3.1457718094017464e-07,0.004255077185077232,0.00017286624410127615,6.375,6.375
0.00528190750292795,8.105985569959221e-07,0.004799592943913609,0.00012281740989341186,6.0,6.0
0.006916925375979896,0.00019688871426823447,0.007006631603217914,9.85715994199692e-06,5.375,5.375
0.0089372380351858,0.0011985509632724224,0.005953018391527488,0.0,5.0,5.0
0.010721271066979914,5.195449350151406e-05,0.003004264678694692,0.0,4.375,4.375
0.010142804134590254,0.0002285467937931822,0.007527317464411633,0.0,3.375,3.375
