Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.003560621277356023,0.0,0.0028823841461512703,0.0,0.0,0.0
0.0033277718646610023,0.0,0.002783329612101804,0.0,0.0,0.0
0.003211347158313492,0.0,0.0027105392394718977,0.0,0.0,0.0
0.003153134805139738,1.385736876573144e-05,0.002668102003735563,0.0,0.0,0.0
0.0035952019235777565,2.220457610489277e-05,0.002741245284773974,0.0,0.0,0.0
0.004724155281361576,4.8535505690158515e-06,0.002912126200706112,0.0,0.0,0.0
0.006439119810324044,0.0,0.0030431304722564043,0.0,0.0,0.0
0.007547406037560018,0.0,0.0031286636055050552,1.5153400263509654e-06,0.0,0.0
0.007281919794277337,2.4577415356943283e-05,0.0030490715886307453,2.978839472853082e-05,0.0,0.0
0.006476357339822348,8.245783039261417e-06,0.003487922859231062,0.00011081920876919296,0.0,0.0
0.00556439605525264,0.0,0.0037186446325056773,0.00015488370164071447,0.0,0.0
0.005622608408426397,0.0,0.004543390309009874,0.00019751260922411398,0.0,0.0
0.00556439605525264,2.7048491162841686e-08,0.005225789483139014,0.00018804173405942046,0.625,0.625
0.005389758995731377,6.953585672031792e-06,0.006257529506358976,0.00023150806639422446,1.0,1.0
0.0053315466425576195,2.1741033771948634e-05,0.007239181262621456,0.00024580410322177235,1.0,1.0
0.005644911677826606,0.00010033415183315699,0.0032796670096525687,0.0002358347609431476,1.0,1.0
0.00769554449511237,0.00013389978403804468,0.0021259655006340226,0.00020177948771936538,1.0,1.0
0.009908536986924933,0.0001392190131220846,0.0021240285451030174,0.00011091890219197922,1.0,1.0
0.01023223558338137,0.00011402308021405265,0.003434406478136125,8.115044614800565e-06,1.0,1.0
0.009541769397722083,4.8676297833393296e-05,0.004267082737771123,0.0,1.0,1.0
0.009308919985027064,2.0608345969393996e-05,0.007384042603216012,0.0,0.375,0.375
0.008099451012842223,3.884296319920336e-06,0.006135809938604369,0.0,0.0,0.0
0.006307858508919832,0.0,0.004974498711820042,0.0,0.0,0.0
0.004713206333918919,0.0,0.00406308410193821,0.0,0.0,0.0
0.003560621277356023,0.0,0.003379094066234554,0.0,0.0,0.0
0.0033277718646610023,0.0,0.003115334129487884,0.0,0.0,0.0
0.003211347158313492,0.0,0.0029011831353284215,0.0,0.0,0.0
0.003153134805139738,1.4636088999299512e-05,0.0028785951349573273,0.0,0.0,0.0
0.0035952019235777565,8.667612162791837e-06,0.0029359768268276353,0.0,0.0,0.0
0.004724155281361576,0.0,0.0030581925202386663,0.0,0.0,0.0
0.006439119810324044,0.0,0.0031680484570476746,0.0,0.0,0.0
0.007568554961031611,0.0,0.0031949776972541,0.0,0.0,0.0
0.0077468760750384405,1.875290817985867e-05,0.0029728659038930367,1.6748495028089618e-06,0.0,0.0
0.006941313620583451,2.049989361067585e-05,0.0030570877891247517,1.4176404720204425e-05,0.0,0.0
0.006029352336013741,0.0,0.00345424228462099,5.780224653146643e-05,0.0,0.0
0.006087564689187499,0.0,0.004329387341964426,0.00015639904166706543,0.625,0.625
0.005970741068830825,0.0,0.0056459985394215085,0.00023473813329249888,1.0,1.0
0.00585471527649248,3.2353124474462153e-07,0.006606169944975565,0.00025100809989121454,1.625,1.625
0.005796502923318721,0.0,0.0074017851748376445,0.0002473393819326806,2.0,2.0
0.006109867958587711,5.108600380377014e-05,0.003938022917675491,0.00023597433173504835,2.0,2.0
0.008160500775873476,0.0001130895694036706,0.0038257698749308245,0.00020261691247076987,2.0,2.0
0.00992968591039653,0.00012595481638627936,0.001954535459472141,0.00011239436484921568,2.0,2.0
0.01023223558338137,8.00132983478459e-05,0.0020113834590476665,8.234676722144062e-06,2.0,2.0
0.009541769397722083,3.705600576962992e-05,0.00581777022251317,0.0,2.0,2.0
0.009308919985027064,1.9288983381082435e-05,0.006519697374721034,0.0,2.0,2.0
0.008099451012842223,7.351203392902808e-06,0.005405787381075382,0.0,2.0,2.0
0.006307858508919832,0.0,0.004619753860267195,0.0,0.75,0.75
