Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026362062130318516,0.0,0.0,0.0,0.0,0.0
0.0026740463354171565,0.0,0.0,9.533959965396745e-07,0.0,0.0
0.0026470519109485797,0.0,0.0,1.87417581425036e-05,0.0,0.0
0.0026052683897333302,0.0,0.0,6.972335458904619e-05,0.0,0.0
0.002595856020041935,0.0,0.0,9.744710659368672e-05,0.0,0.0
0.002595856020041935,0.0,0.0,0.00012426764133844755,0.0,0.0
0.002595856020041935,3.798150881676583e-05,0.0020332563498846085,0.00011830891636007459,0.625,0.625
0.002595856020041935,7.08904561281406e-05,0.006199992551560146,0.00014565632783976527,1.0,1.0
0.002595856020041935,3.514480981049947e-05,0.006517735286853593,0.00015465086638606718,1.0,1.0
0.002595856020041935,3.440561338466623e-05,0.006281818907775765,0.00014837852430356932,1.0,1.0
0.002595856020041935,5.600797115091654e-05,0.007879909309309282,0.00012695220374975665,1.0,1.0
0.0026002581312757154,4.179718641432213e-06,0.005038658272020245,6.978607800987117e-05,1.0,1.0
0.0021166327930921994,0.0,0.0,5.105686455153256e-06,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
