# Renewables.ninja Weather (Point API) - 41.690, 110.430 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Shanghai, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "41.69017581866316", "lon": "110.429745158989", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 08:00,39.581
2019-01-01 01:00,2019-01-01 09:00,183.456
2019-01-01 02:00,2019-01-01 10:00,327.291
2019-01-01 03:00,2019-01-01 11:00,411.908
2019-01-01 04:00,2019-01-01 12:00,397.168
2019-01-01 05:00,2019-01-01 13:00,322.630
2019-01-01 06:00,2019-01-01 14:00,217.081
2019-01-01 07:00,2019-01-01 15:00,125.016
2019-01-01 08:00,2019-01-01 16:00,50.253
2019-01-01 09:00,2019-01-01 17:00,0.652
2019-01-01 10:00,2019-01-01 18:00,0
2019-01-01 11:00,2019-01-01 19:00,0
2019-01-01 12:00,2019-01-01 20:00,0
2019-01-01 13:00,2019-01-01 21:00,0
2019-01-01 14:00,2019-01-01 22:00,0
2019-01-01 15:00,2019-01-01 23:00,0
2019-01-01 16:00,2019-01-02 00:00,0
2019-01-01 17:00,2019-01-02 01:00,0
2019-01-01 18:00,2019-01-02 02:00,0
2019-01-01 19:00,2019-01-02 03:00,0
2019-01-01 20:00,2019-01-02 04:00,0
2019-01-01 21:00,2019-01-02 05:00,0
2019-01-01 22:00,2019-01-02 06:00,0
2019-01-01 23:00,2019-01-02 07:00,0
2019-01-02 00:00,2019-01-02 08:00,21.446
2019-01-02 01:00,2019-01-02 09:00,73.795
2019-01-02 02:00,2019-01-02 10:00,112.763
2019-01-02 03:00,2019-01-02 11:00,150.047
2019-01-02 04:00,2019-01-02 12:00,198.344
2019-01-02 05:00,2019-01-02 13:00,233.909
2019-01-02 06:00,2019-01-02 14:00,221.100
2019-01-02 07:00,2019-01-02 15:00,154.054
2019-01-02 08:00,2019-01-02 16:00,52.542
